"['Broken Alliance', 'Last Alive']",May 23 18,de_cache
"['Broken Alliance', 'Thicc Sweaty Llamas']",May 31 18,de_dust2
"['Broken Alliance', 'Reality CS']",Jun 6 18,de_mirage
"['Broken Alliance', 'Yee Yee Boys']",Jun 11 18,de_mirage
"['Broken Alliance', 'UC Rejects CSGO']",Jun 13 18,de_overpass
"['Broken Alliance', 'OP']",Jun 16 18,de_inferno
"['Broken Alliance', 'She Wasnt 18']",Jun 19 18,de_dust2
"['Broken Alliance', 'Instant Shock']",Jun 20 18,de_inferno
"['Broken Alliance', 'Chill Town']",Jun 28 18,de_mirage
"['Broken Alliance', 'Hooked Academy']",Jul 2 18,de_mirage
"['Broken Alliance', 'Rabbi and the Alt...']",Jul 4 18,de_overpass
"['Broken Alliance', 'wat']",Jul 6 18,de_inferno
"['Broken Alliance', 'SPLEWY LEWIS n TH...']",Jul 18 18,de_overpass
"['Broken Alliance', 'Class Is In Sessi...']",Jul 30 18,Multiple
"['Animus Gaming', 'No Shift Nation']",May 22 18,de_inferno
"['No Shift Nation', 'Zero Chemistry']",May 28 18,de_cache
"['No Shift Nation', 'what we do']",May 30 18,de_inferno
"['No Shift Nation', 'fortnite gawdz']",Jun 1 18,de_dust2
"['Class Is In Sessi...', 'No Shift Nation']",Jun 7 18,de_cache
"['MoZZY', 'No Shift Nation']",Jun 11 18,de_mirage
"['No Shift Nation', 'Phat Brain']",Jun 13 18,de_overpass
"['No Shift Nation', 'Quixotic Reality']",Jun 18 18,de_mirage
"['ExPURE', 'No Shift Nation']",Jun 20 18,de_overpass
"['No Shift Nation', 'TangoWorldWide']",Jun 25 18,de_cache
"['No Shift Nation', 'Skeet Skeet Water...']",Jul 2 18,de_mirage
"['No Shift Nation', 'Oceanic Squad']",Jul 9 18,de_cache
"['Grain Bin Boyz', 'No Shift Nation']",Jul 13 18,de_mirage
"['DamageOverTime', 'No Shift Nation']",Jul 16 18,de_mirage
"['Mind Bending Perf...', 'No Shift Nation']",Jul 30 18,Multiple
"['Defy Rebellion', 'drain gang']",May 25 18,de_inferno
"['1ms', 'drain gang']",May 26 18,de_mirage
"['OP', 'drain gang']",May 31 18,de_train
"['Driven to Insanity', 'drain gang']",Jun 5 18,de_dust2
"['6o8', 'drain gang']",Jun 7 18,de_cache
"['Will Frag For Food', 'drain gang']",Jun 8 18,de_cache
"['Chill Town', 'drain gang']",Jun 14 18,de_mirage
"['Silent Gaming', 'drain gang']",Jun 14 18,de_cache
"['VCU CSGO', 'drain gang']",Jun 21 18,de_train
"['Noxious-', 'drain gang']",Jun 22 18,de_nuke
"['Polar Ace', 'drain gang']",Jun 27 18,de_mirage
"['DreamTanks', 'drain gang']",Jun 29 18,de_cache
"['Nfinite', 'drain gang']",Jul 4 18,de_dust2
"['Doxxa', 'drain gang']",Jul 9 18,de_dust2
"['Literature Club', 'drain gang']",Jul 11 18,de_mirage
"['afraid', 'drain gang']",Jul 16 18,de_dust2
"['PAW Patrol', 'drain gang']",Jul 27 18,Multiple
"['BOYS ARE BACK', 'Hedgehogs']",May 22 18,de_inferno
"['Hedgehogs', 'wat']",May 23 18,de_inferno
"['Hedgehogs', 'LEGENDS']",May 28 18,de_dust2
"['Defy Rebellion', 'Hedgehogs']",Jun 1 18,de_inferno
"['Hedgehogs', 'LoliBread']",Jun 7 18,de_dust2
"['Hedgehogs', 'TEAM NICK']",Jun 8 18,de_mirage
